"","set_num","name","year","theme","themeGroup","subtheme","weight","parts","size","boxSize","minifigs","instructionsCount","packagingType","availability","wantedByTotal","avgSellPrice","offersByTotal","USRetailPrice","profit","profitability","age"
"1","1130-1","Plastic Folder for Building Instructions",1980,"Service Packs","Miscellaneous","no subtheme",505,1,"31.4 x 23 x 2.5 cm",1805.5,0,0,"Polybag","LEGO exclusive",59,13.05,1,14,-0.949999999999999,-6.79,38
"2","10801-1","Baby Animals",2016,"Duplo","Pre-school","no subtheme",180,13,"19 x 6.7 x 14 cm",1782.2,0,0,"Box","Retail",75,11.32,22,9.99,1.33,13.31,2
"3","10656-1","My First LEGO Princess",2013,"Bricks and More","Basic","no subtheme",148,88,"15.5 x 14 x 6 cm",1302,1,2,"Box","Retail",159,11.58,21,9.99,1.59,15.92,5
"4","20214-1","Adventure Designer",2013,"Master Builder Academy","Miscellaneous","no subtheme",2009,638,"43 x 27 x 7 cm",8127,0,0,"Box","LEGO exclusive",570,95,15,79.99,15.01,18.76,5
"5","10133-1","Burlington Northern Santa Fe (BNSF) Locomotive",2005,"Trains","Modern day","9 V",568.72,407,"28.5 x 19 x 7 cm",3790.5,2,1,"Box","LEGO exclusive",1664,260.42,23,40,220.42,551.05,13
"6","10657-1","My First LEGO Set",2013,"Bricks and More","Basic","no subtheme",350,148,"19 x 14.3 x 12.8 cm",3477.76,1,2,"Box","Retail",186,12.42,3,14.99,-2.57,-17.14,5
"7","10802-1","Savanna",2016,"Duplo","Pre-school","no subtheme",472,18,"26.1 x 19 x 8.7 cm",4314.33,1,2,"Box","Retail",90,16.64,7,19.99,-3.35,-16.76,2
"8","20215-1","Invention Designer",2013,"Master Builder Academy","Miscellaneous","no subtheme",1957,675,"43.18 x 27.31 x 7 cm",8254.7206,3,0,"Box","LEGO exclusive",485,97.64,11,79.99,17.65,22.07,5
"9","2126-1","Train Cars",1997,"Trains","Modern day","9 V",900,378,"48 x 19 x 7 cm",6384,5,1,"Box","Retail - limited",788,189,5,69.5,119.5,171.94,21
"10","10134-1","Y-wing Attack Starfighter",2004,"Star Wars","Licensed","Ultimate Collector Series",2285,1473,"57.5 x 38.3 x 9 cm",19820.25,1,1,"Box","Retail - limited",4421,945.84,24,120,825.84,688.2,14
"11","10659-1","Suitcase",2013,"Bricks and More","Basic","no subtheme",782,146,"28.2 x 26.5 x 6.3 cm",4707.99,2,4,"Other","Retail",221,26.36,8,24.99,1.37,5.48,5
"12","10803-1","Arctic",2016,"Duplo","Pre-school","no subtheme",767,40,"37.5 x 26 x 9 cm",8775,2,2,"Box","Retail",173,18.07,25,29.99,-11.92,-39.75,2
"13","1032-1","Technic II Powered Machines Set",1984,"Dacta","Educational","Technic",1487,278,"39 x 31.2 x 6 cm",7300.8,0,0,"{Not specified}","{Not specified}",77,150,2,80,70,87.5,34
"14","10143-1","Death Star II",2005,"Star Wars","Licensed","Ultimate Collector Series",6811,3441,"58.7 x 50 x 21 cm",61635,0,1,"Box","Retail - limited",6032,1283.41,12,269.99,1013.42,375.35,13
"15","10660-1","Pink Suitcase",2013,"Bricks and More","Basic","no subtheme",796,151,"28.2 x 26.5 x 6.3 cm",4707.99,2,4,"Other","Retail",188,20.56,11,24.99,-4.43,-17.73,5
"16","10804-1","Jungle",2016,"Duplo","Pre-school","no subtheme",1360,86,"35 x 37 x 11 cm",14245,2,3,"Box","Retail",119,39.83,14,49.99,-10.16,-20.32,2
"17","10144-1","Sandcrawler",2005,"Star Wars","Licensed","Episode IV",2442,1669,"57.2 x 38.1 x 9 cm",19613.88,11,1,"Box","Retail",4403,245.81,46,139.99,105.82,75.59,13
"18","30042-1","Mini Sub",2010,"Atlantis","Action/Adventure","no subtheme",20.8,36,"13.8 x 13.8 x 1.5 cm",285.66,1,4,"Polybag","Retail - limited",639,4.36,78,3.99,0.37,9.27,8
"19","1747-1","Treasure Surprise",1996,"Pirates","Historical","no subtheme",32,22,"7 x 7 x 4.6 cm",225.4,1,1,"Box","Retail",673,12.48,7,2,10.48,524,22
"20","21301-1","Birds",2015,"Ideas","Miscellaneous","no subtheme",815,580,"35 x 19 x 6 cm",3990,0,3,"Box","Retail - limited",1550,67.59,146,44.99,22.6,50.23,3
"21","10661-1","My First LEGO Fire Station",2013,"Bricks and More","Basic","no subtheme",157,90,"15.5 x 14 x 6 cm",1302,1,2,"Box","Retail",166,24.75,5,9.99,14.76,147.75,5
"22","2254-1","Mountain Shrine",2011,"Ninjago","Action/Adventure","Spinners",322,169,"26.1 x 19 x 6.1 cm",3024.99,2,2,"Box","{Not specified}",993,36.94,11,19.99,16.95,84.79,7
"23","1916-1","Starion Patrol",1993,"Space","Action/Adventure","Space Police 2",27,23,"7 x 7 x 4.6 cm",225.4,1,0,"Box","Retail - limited",576,43.04,2,2,41.04,2052,25
"24","1749-1","Paravane",1996,"Aquazone","Action/Adventure","Aquanauts",28,16,"7 x 7 x 4.5 cm",220.5,1,1,"Box","Retail",386,4.35,10,2,2.35,117.5,22
"25","21302-1","The Big Bang Theory",2015,"Ideas","Miscellaneous","Licensed",760,484,"35 x 19 x 5.5 cm",3657.5,7,2,"Box","Retail - limited",1733,63.45,218,59.99,3.46,5.77,3
"26","30399-1","Bowling Alley",2016,"Friends","Girls","Amusement Park",34.61,51,"17 x 19.5 x 1.7 cm",563.55,1,2,"Polybag","Retail - limited",383,4.06,97,3.99,0.0699999999999994,1.75,2
"27","10146-1","Assorted Dark Grey Bricks",2004,"Bulk Bricks","Basic","no subtheme",109.2,63,"21 x 18 x 3 cm",1134,0,0,"Polybag","LEGO exclusive",73,19,2,5,14,280,14
"28","2255-1","Sensei Wu",2011,"Ninjago","Action/Adventure","Spinners",97,20,"17.2 x 23 x 2.8 cm",1107.68,1,2,"{Not specified}","{Not specified}",618,14.96,14,9.99,4.97,49.75,7
"29","10664-1","Creative Tower",2013,"Bricks and More","Basic","no subtheme",2345,1600,"22 x 48 x 22 cm",23232,0,0,"Canister","Retail",415,114.7,9,70.69,44.01,62.26,5
"30","10000-1","Guarded Inn",2001,"Castle","Historical","Lion Knights",424,253,"28.7 x 19 x 5.8 cm",3162.74,4,1,"Box","LEGO exclusive",1098,200.87,14,25,175.87,703.48,17
"31","21303-1","WALL-E",2015,"Ideas","Miscellaneous","Licensed",936,677,"26 x 19 x 9 cm",4446,0,4,"Box","Retail - limited",2589,96.4,154,59.99,36.41,60.69,3
"32","1463-1","Treasure Cart",1992,"Castle","Historical","Crusaders",20,23,"14.5 x 14 x 1.5 cm",304.5,1,0,"Polybag","Retail - limited",640,29.44,5,2,27.44,1372,26
"33","10808-1","Little Plane",2016,"Duplo","Pre-school","no subtheme",233,13,"19 x 14 x 9.1 cm",2420.6,1,0,"Box","Retail",44,7.84,12,9.99,-2.15,-21.52,2
"34","2256-1","Lord Garmadon",2011,"Ninjago","Action/Adventure","Spinners",98,23,"17.2 x 23 x 2.8 cm",1107.68,1,2,"{Not specified}","{Not specified}",641,9.78,16,9.99,-0.210000000000001,-2.1,7
"35","30051-1","Mini X-wing",2011,"Star Wars","Licensed","Mini Building Set",27,61,"17.4 x 16.8 cm",4910.976,0,6,"Polybag","Promotional",1370,9.47,35,3.49,5.98,171.35,7
"36","10665-1","Spider-Man: Spider-Car Pursuit",2014,"Juniors","Junior","Marvel Super Heroes",113,55,"15.7 x 14.1 x 4.5 cm",996.165,2,2,"Box","Retail",516,24.87,17,12.99,11.88,91.45,4
"37","2856134-1","Ninjago Card Shrine",2011,"Ninjago","Action/Adventure","Promotional",106,98,"16.6 x 17.2 x 3 cm",856.56,0,0,"Polybag","LEGO exclusive",484,8,10,6.99,1.01,14.45,7
"38","10001-1","Metroliner",2001,"Trains","Modern day","9 V",1825,782,"48 x 28.5 x 10 cm",13680,11,1,"Box","LEGO exclusive",950,543.15,6,149,394.15,264.53,17
"39","21304-1","Doctor Who",2015,"Ideas","Miscellaneous","Licensed",760,623,"26.2 x 19 x 7.2 cm",3584.16,6,4,"Box","Retail - limited",1314,64.64,248,59.99,4.65,7.75,3
"40","2257-1","Spinjitzu Starter Set",2011,"Ninjago","Action/Adventure","Spinners",180,57,"26 x 23 x 2.8 cm",1674.4,2,2,"{Not specified}","{Not specified}",499,22.14,7,19.99,2.15,10.76,7
"41","30052-1","AAT",2011,"Star Wars","Licensed","Episode I",29.3,46,"17 x 16.5 x 1.3 cm",364.65,0,2,"Polybag","Promotional",1228,12.98,20,3.99,8.99,225.31,7
"42","10666-1","Digger",2014,"Juniors","Junior","City",150,75,"15.6 x 14 x 6 cm",1310.4,1,2,"Box","Retail",394,33.93,2,9.99,23.94,239.64,4
"43","10002-1","Railroad Club Car",2001,"Trains","Modern day","9 V",548,293,"28.5 x 28.5 x 6 cm",4873.5,5,1,"Box","LEGO exclusive",944,326.67,15,37.5,289.17,771.12,17
"44","21305-1","Maze",2016,"Ideas","Miscellaneous","no subtheme",1547,769,"38 x 26 x 9 cm",8892,0,2,"Box","Retail - limited",1357,103.19,75,69.99,33.2,47.44,2
"45","10152-1","Maersk Sealand Container Ship",2004,"Advanced Models","Model making","Maersk",1685,988,"48 x 28.5 x 11.5 cm",15732,0,2,"Box","LEGO exclusive",1132,197.44,18,75,122.44,163.25,14
"46","2258-1","Ninja Ambush",2011,"Ninjago","Action/Adventure","Pilot Season",82,71,"14 x 12 x 4.5 cm",756,2,2,"Box","{Not specified}",730,18.41,13,6.99,11.42,163.38,7
"47","30053-1","Republic Attack Cruiser",2011,"Star Wars","Licensed","The Clone Wars",22,41,"13.8 x 16.5 x 1.1 cm",250.47,0,3,"Polybag","Promotional",999,5.11,86,3.99,1.12,28.07,7
"48","30225-1","Coast Guard Seaplane",2013,"City","Modern day","Coast Guard",40,37,"17.2 x 16.7 x 1.2 cm",344.688,1,2,"Polybag","Retail - limited",734,6.36,34,3.99,2.37,59.4,5
"49","10667-1","Construction",2014,"Juniors","Junior","City",541,160,"18.9 x 17.9 x 18 cm",6089.58,1,4,"Bucket","Retail",315,20.34,3,14.99,5.35,35.69,4
"50","2063-1","Stormer 2.0",2011,"HERO Factory","Constraction","no subtheme",160,31,"11.5 x 18 x 6 cm",1242,0,1,"{Not specified}","{Not specified}",329,16.24,2,7.99,8.25,103.25,7
"51","21306-1","The Beatles Yellow Submarine",2016,"Ideas","Miscellaneous","Licensed",668,553,"26 x 19 x 9 cm",4446,5,2,"Box","Retail - limited",1203,61.4,185,59.99,1.41,2.35,2
"52","2259-1","Skull Motorbike",2011,"Ninjago","Action/Adventure","Pilot Season",229,157,"26.2 x 18.7 x 4.6 cm",2253.724,2,2,"Box","{Not specified}",844,29.61,8,14.99,14.62,97.53,7
"53","10811-1","Backhoe Loader",2016,"Duplo","Pre-school","Construction",386,19,"26 x 19 x 9 cm",4446,1,0,"Box","Retail",59,12.37,12,14.99,-2.62,-17.48,2
"54","10668-1","The Princess Play Castle",2014,"Juniors","Junior","Fantasy",547,150,"18.9 x 17.9 x 18 cm",6089.58,1,4,"Bucket","Retail",232,23.33,2,14.99,8.34,55.64,4
"55","10004-1","2x2 Sand Red Bricks",2001,"Bulk Bricks","Basic","no subtheme",124,100,"16 x 16 x 4 cm",1024,0,0,"Polybag","LEGO exclusive",51,36.09,4,7,29.09,415.57,17
"56","21307-1","Caterham Seven 620R",2016,"Ideas","Miscellaneous","Licensed",1014,771,"38 x 26 x 7 cm",6916,0,2,"Box","Retail - limited",1157,81.27,119,79.99,1.28,1.6,2
"57","10153-1","Train Motor 9 V",2002,"Trains","Modern day","9 V",98,3,"9.5 x 9.5 x 4.8 cm",433.2,0,0,"Box","Retail - limited",341,86.77,16,24.99,61.78,247.22,16
"58","2260-1","Ice Dragon Attack",2011,"Ninjago","Action/Adventure","Pilot Season",335,158,"28.2 x 26.2 x 4.6 cm",3398.664,2,4,"Box","{Not specified}",1193,97.6,13,19.99,77.61,388.24,7
"59","10669-1","Turtle Lair",2014,"Juniors","Junior","Teenage Mutant Ninja Turtles",280,107,"26 x 19 x 4.4 cm",2173.6,2,2,"Box","Retail",279,38.74,6,19.99,18.75,93.8,4
"60","30227-1","Police Watercraft",2014,"City","Modern day","Police",34,36,"16.9 x 19 x 2.4 cm",770.64,2,2,"Polybag","Retail - limited",653,4.12,96,4.99,-0.87,-17.43,4
"61","21308-1","Adventure Time",2017,"Ideas","Miscellaneous","Licensed",483,495,"26 x 19 x 6 cm",2964,0,2,"Box","Retail - limited",734,38.04,88,49.99,-11.95,-23.9,1
"62","2065-1","Furno 2.0",2011,"HERO Factory","Constraction","no subtheme",160,30,"11.5 x 18 x 6 cm",1242,0,1,"{Not specified}","{Not specified}",320,30.65,0,7.99,22.66,283.6,7
"63","10155-1","Maersk Line Container Ship",2010,"Advanced Models","Model making","Maersk",1664,990,"47.8 x 27.8 x 11.5 cm",15281.66,0,3,"Box","LEGO exclusive",1840,198.44,39,119.99,78.45,65.38,8
"64","2263-1","Turbo Shredder",2011,"Ninjago","Action/Adventure","Pilot Season",573,298,"38.2 x 26.2 x 7.1 cm",7105.964,3,4,"Box","{Not specified}",932,48.54,18,29.99,18.55,61.85,7
"65","10500-1","Horse Stable",2013,"Duplo","Pre-school","no subtheme",783,44,"38 x 26 x 9 cm",8892,2,2,"Box","Retail",68,22.29,3,29.99,-7.7,-25.68,5
"66","1349-1","Steven Spielberg Moviemaker Set",2000,"Studios","Modern day","no subtheme",2495,442,"53 x 38 x 9.5 cm",19133,7,2,"Box","Retail",621,187.84,9,180,7.84,4.36,18
"67","10671-1","Fire Emergency",2014,"Juniors","Junior","City",343,123,"26 x 19 x 7 cm",3458,2,2,"Box","Retail - limited",204,23.54,6,19.99,3.55,17.76,4
"68","2067-1","Evo 2.0",2011,"HERO Factory","Constraction","no subtheme",160,31,"11.5 x 18 x 6 cm",1242,0,1,"{Not specified}","{Not specified}",338,24.17,2,7.99,16.18,202.5,7
"69","21309-1","NASA Apollo Saturn V",2017,"Ideas","Miscellaneous","NASA",2460,1969,"37.3 x 47.5 x 10.7 cm",18957.725,0,2,"Box","Retail - limited",2753,141.47,218,119.99,21.48,17.9,1
"70","10814-1","Tow Truck",2016,"Duplo","Pre-school","no subtheme",537,28,"26 x 19 x 11.7 cm",5779.8,2,0,"Box","Retail",50,18.77,6,19.99,-1.22,-6.1,2
"71","10156-1","LEGO Truck",2004,"Town","Modern day","Special",143,105,"19 x 9.4 x 5.9 cm",1053.74,1,1,"Box","LEGO exclusive",593,31.12,14,15,16.12,107.47,14
"72","30057-1","Anakin's Pod Racer",2012,"Star Wars","Licensed","Episode I",18,38,"13.7 x 13.7 x 0.9 cm",168.921,0,2,"Polybag","Promotional",995,9.44,23,4.99,4.45,89.18,6
"73","30229-1","Repair Lift",2014,"City","Modern day","Traffic",42,40,"19 x 17 x 1 cm",323,1,2,"Polybag","Retail - limited",1156,5.81,27,3.49,2.32,66.48,4
"74","271-1","Baby's Cot and Cabinet",1973,"Homemaker","Vintage themes","no subtheme",70,49,"8.7 x 6.3 x 3.1 cm",169.911,0,0,"Box","Retail",72,31.07,1,0.6,30.47,5078.33,45
"75","10501-1","Zoo Friends",2013,"Duplo","Pre-school","Zoo",76,5,"12 x 6 x 9 cm",648,0,0,"Box","Retail",101,7.81,16,4.99,2.82,56.51,5
"76","2282-1","Rocka XL",2011,"HERO Factory","Constraction","no subtheme",448,174,"28 x 26 x 6.4 cm",4659.2,0,1,"{Not specified}","{Not specified}",455,58.13,5,24.99,33.14,132.61,7
"77","1351-1","Movie Backdrop Studio",2001,"Studios","Modern day","no subtheme",840,211,"48 x 28.5 x 6 cm",8208,3,1,"Box","Retail",473,55.11,9,60,-4.89,-8.15,17
"78","2068-1","Nex 2.0",2011,"HERO Factory","Constraction","no subtheme",160,31,"11.5 x 18 x 6 cm",1242,0,1,"{Not specified}","{Not specified}",309,33.77,4,7.99,25.78,322.65,7
"79","10013-1","Open Freight Wagon",2001,"Trains","Modern day","9 V",278,121,"29 x 19 x 5 cm",2755,0,1,"Box","Retail - limited",889,52.25,29,17,35.25,207.35,17
"80","10672-1","Batman: Defend the Batcave",2014,"Juniors","Junior","DC Comics Super Heroes",485,150,"28 x 25.5 x 6 cm",4284,3,2,"Box","Retail",588,44.56,10,29.99,14.57,48.58,4
"81","10815-1","My First Rocket",2016,"Duplo","Pre-school","no subtheme",355,18,"20.4 x 19 x 9 cm",3488.4,0,0,"Box","Retail",35,10.32,8,9.99,0.33,3.3,2
"82","10157-1","High Speed Train Locomotive",2004,"World City","Modern day","Trains",391,143,"28.6 x 18.9 x 6 cm",3243.24,2,1,"Box","LEGO exclusive",853,100.58,10,25,75.58,302.32,14
"83","30230-1","Mini Mech",2013,"Space","Action/Adventure","Galaxy Squad",21,28,"13.8 x 16.6 x 1 cm",229.08,1,2,"Polybag","Promotional",497,3.48,119,3.99,-0.51,-12.78,5
"84","10503-1","Circus Show",2013,"Duplo","Pre-school","Circus",380,25,"26.2 x 19 x 8.8 cm",4380.64,1,0,"Box","Retail",71,13.42,9,14.99,-1.57,-10.47,5
"85","2283-1","Witch Doctor",2011,"HERO Factory","Constraction","no subtheme",610,331,"26.1 x 38.2 x 7 cm",6979.14,0,1,"{Not specified}","{Not specified}",475,129.29,4,29.99,99.3,331.11,7
"86","1352-1","Explosion Studio",2001,"Studios","Modern day","no subtheme",491,233,"33.3 x 23.8 x 4.7 cm",3724.938,4,0,"Box","Retail",552,62.25,5,35,27.25,77.86,17
"87","10673-1","Race Car Rally",2014,"Juniors","Junior","City",1011,350,"37 x 17.9 x 18 cm",11921.4,2,4,"Tub","Retail",212,26.77,9,29.99,-3.22,-10.74,4
"88","21310-1","Old Fishing Store",2017,"Ideas","Miscellaneous","no subtheme",2700,2049,"47.8 x 37.7 x 10.7 cm",19282.042,4,2,"Box","Retail - limited",3352,144.09,103,149.99,-5.90000000000001,-3.93,1
"89","10014-1","Caboose",2001,"Trains","Modern day","9 V",273.53,170,"19 x 19 x 6 cm",2166,0,1,"Box","Retail - limited",792,66.06,12,15,51.06,340.4,17
"90","10816-1","My First Cars and Trucks",2016,"Duplo","Pre-school","no subtheme",666,36,"28 x 26 x 9.3 cm",6770.4,0,0,"Box","Retail",36,17.05,22,19.99,-2.94,-14.71,2
"91","10159-1","City Airport",2004,"Town","Modern day","Flight",2000,928,"57.2 x 37.8 x 6.6 cm",14270.256,12,1,"Box","LEGO exclusive",1172,305.17,4,90,215.17,239.08,14
"92","30059-1","MTT",2012,"Star Wars","Licensed","The Clone Wars",30.12,51,"13.7 x 13.7 x 0.9 cm",168.921,0,3,"Polybag","Retail - limited",1102,7.51,43,3.97,3.54,89.17,6
"93","10504-1","My First Circus",2013,"Duplo","Pre-school","Circus",954,62,"47.7 x 28 x 7 cm",9349.2,3,2,"Box","Retail",86,54.66,3,34.99,19.67,56.22,5
"94","30231-1","Space Insectoid",2013,"Space","Action/Adventure","Galaxy Squad",15,27,"13.8 x 16.6 x 1 cm",229.08,1,2,"Polybag","Promotional",659,8.08,14,3.49,4.59,131.52,5
"95","10674-1","Pony Farm",2014,"Juniors","Junior","Girl",1025,306,"37 x 18 x 18 cm",11988,1,4,"Tub","Retail",202,33.21,10,29.99,3.22,10.74,4
"96","10015-1","Green Passenger Wagon",2001,"Trains","Modern day","9 V",352,194,"28.7 x 19 x 5.9 cm",3217.27,0,1,"Box","Retail - limited",786,72.33,24,19.99,52.34,261.83,17
"97","1353-1","Car Stunt Studio",2001,"Studios","Modern day","no subtheme",410,166,"28.5 x 19 x 7 cm",3790.5,2,1,"Box","Retail",428,26.24,17,20,6.24,31.2,17
"98","10818-1","My First Truck",2016,"Duplo","Pre-school","no subtheme",617,29,"35 x 19 x 8.7 cm",5785.5,2,2,"Box","Retail",42,11.66,21,19.99,-8.33,-41.67,2
"99","1248-1","Fire Boat",1999,"Town","Modern day","City",42.5,24,"9.5 x 9.5 x 3.8 cm",342.95,1,1,"Box","Promotional",219,5,6,1.7,3.3,194.12,19
"100","10161-1","Black Roof Tiles",2004,"Bulk Bricks","Basic","no subtheme",98,76,"16.5 x 15.5 x 3 cm",767.25,0,0,"Polybag","LEGO exclusive",73,15.99,1,5.99,10,166.94,14
"101","30240-1","Z-95 Headhunter",2013,"Star Wars","Licensed","The Clone Wars",30,54,"17.2 x 17 x 1 cm",292.4,0,0,"Polybag","Retail - limited",906,4.66,110,4.99,-0.33,-6.61,5
"102","21312-1","Women of NASA",2017,"Ideas","Miscellaneous","NASA",335,231,"26 x 19 x 4.5 cm",2223,4,2,"Box","Retail - limited",858,29.8,171,24.99,4.81,19.25,1
"103","1354-1","Dino Head Attack",2001,"Studios","Modern day","no subtheme",197,94,"19 x 14 x 6 cm",1596,2,1,"Box","Retail",426,18.08,13,10,8.08,80.8,17
"104","10675-1","Police <U+0096> The Big Escape",2014,"Juniors","Junior","City",455,146,"28.2 x 26.2 x 5.9 cm",4359.156,3,2,"Box","Retail",221,40.33,3,29.99,10.34,34.48,4
"105","10016-1","Tanker",2001,"Trains","Modern day","9 V",356,128,"28.7 x 19 x 5.9 cm",3217.27,0,1,"Box","Retail - limited",1061,95.51,23,20,75.51,377.55,17
"106","2304-1","Large Building Plate",1992,"Duplo","Pre-school","no subtheme",325,1,"38.3 x 38.3 x 0.7 cm",1026.823,0,0,"{Not specified}","{Not specified}",35,8.86,33,14.99,-6.13,-40.89,26
"107","1249-1","Tri-motorbike",1999,"Town","Modern day","City",43,14,"9.5 x 9.5 x 3.8 cm",342.95,1,1,"Box","Promotional",228,6,6,1.7,4.3,252.94,19
"108","30062-1","Target Practice",2010,"Castle","Historical","Kingdoms",26,31,"15.5 x 13 x 1.8 cm",362.7,1,3,"Polybag","Retail - limited",1113,6.85,44,3.99,2.86,71.68,8
"109","30241-1","Mandalorian Fighter",2013,"Star Wars","Licensed","The Clone Wars",34.1,49,"17.5 x 17 x 1 cm",297.5,0,0,"Polybag","Retail - limited",1051,6.57,61,4.99,1.58,31.66,5
"110","10676-1","Knights' Castle",2014,"Juniors","Junior","Fantasy",1471,480,"37 x 18 x 26.2 cm",17449.2,4,4,"Box","Retail",313,71.25,5,49.99,21.26,42.53,4
"111","1355-1","Temple of Gloom",2001,"Studios","Modern day","no subtheme",107,58,"19 x 9.5 x 6 cm",1083,2,1,"Box","Retail",451,13.59,12,7,6.59,94.14,17
"112","10017-1","Hopper Wagon",2001,"Trains","Modern day","9 V",388,228,"28.6 x 19 x 6 cm",3260.4,0,1,"Box","Retail - limited",914,67.78,21,20,47.78,238.9,17
"113","30242-1","Republic Frigate",2013,"Star Wars","Licensed","The Clone Wars",35,45,"17 x 17 x 1 cm",289,0,0,"Polybag","Promotional",1113,6.52,55,4.99,1.53,30.66,5
"114","10677-1","Beach Trip",2015,"Juniors","Junior","Girl",127,74,"15.5 x 14 x 4.4 cm",954.8,1,2,"Box","Retail",254,12.66,15,9.99,2.67,26.73,3
"115","10018-1","Darth Maul",2001,"Star Wars","Licensed","Ultimate Collector Series",3712,1868,"57.7 x 48 x 10.8 cm",29911.68,0,1,"Box","Retail - limited",2397,1104.82,8,150,954.82,636.55,17
"116","1356-1","Stuntman Catapult",2001,"Studios","Modern day","no subtheme",45,29,"9.5 x 9.5 x 4.5 cm",406.125,2,1,"Box","Retail",392,7.91,14,4,3.91,97.75,17
"117","10822-1","Sofia the First Magical Carriage",2016,"Duplo","Pre-school","Sofia the First",516,30,"28 x 26 x 7.5 cm",5460,1,2,"Box","Retail",56,24.62,14,29.99,-5.37,-17.91,2
"118","10679-1","Pirate Treasure Hunt",2015,"Juniors","Junior","Fantasy",140,57,"15.5 x 14 x 6 cm",1302,2,2,"Box","Retail",429,12.37,12,9.99,2.38,23.82,3
"119","1357-1","Cameraman",2001,"Studios","Modern day","no subtheme",35,21,"9.5 x 7 x 4.5 cm",299.25,1,1,"Box","Retail",454,11.49,20,2,9.49,474.5,17
"120","10019-1","Rebel Blockade Runner",2001,"Star Wars","Licensed","Ultimate Collector Series",4565,1747,"63.8 x 47.9 x 10.9 cm",33310.618,0,1,"Box","Retail - limited",5355,1513.76,9,200,1313.76,656.88,17
"121","21000-1","Sears Tower",2008,"Architecture","Model making","Landmark Series",170,69,"14 x 26 x 4.6 cm",1674.4,0,6,"Box","Retail - limited",1280,146.8,1,19.99,126.81,634.37,10
"122","1967-1","Five Set Bonus Pack",1993,"Assorted","Miscellaneous","Bonus/Value Pack",270,156,"28.5 x 18.9 x 4.5 cm",2423.925,0,0,"Box","Retail - limited",124,75,5,10,65,650,25
"123","10824-1","Miles' Space Adventures",2016,"Duplo","Pre-school","Miles from Tomorrowland",345,23,"26 x 22 x 5.9 cm",3374.8,1,0,"Box","Retail",38,8.28,29,19.99,-11.71,-58.58,2
"124","30244-1","Anakin's Jedi Interceptor",2014,"Star Wars","Licensed","Episode III",34,45,"14 x 16 x 1 cm",224,0,2,"Polybag","Retail - limited",1046,6.54,61,4.49,2.05,45.66,4
"125","10680-1","Garbage Truck",2015,"Juniors","Junior","City",311,99,"26 x 19 x 6 cm",2964,2,2,"Box","Retail",341,22.98,7,19.99,2.99,14.96,3
"126","21000-2","Willis Tower",2011,"Architecture","Model making","Landmark Series",170,69,"26.1 x 13.9 x 4.7 cm",1705.113,0,0,"Box","Retail - limited",1171,79.56,17,19.99,59.57,298,7
"127","1360-1","Director's Copter",2001,"Studios","Modern day","no subtheme",44,22,"9.5 x 14 x 3.5 cm",465.5,1,1,"Box","Retail",364,8.34,11,3,5.34,178,17
"128","10505-1","Play House",2013,"Duplo","Pre-school","no subtheme",1877,83,"47.8 x 37.3 x 10.3 cm",18364.282,3,2,"Box","Retail",119,94.96,6,59.99,34.97,58.29,5
"129","30246-1","Imperial Shuttle",2014,"Star Wars","Licensed","Episode VI",43.4,57,"17.3 x 19.1 x 1 cm",330.43,0,2,"Polybag","Retail - limited",993,6.08,70,3.99,2.09,52.38,4
"130","10827-1","Mickey & Friends Beach House",2016,"Duplo","Pre-school","Mickey Mouse Clubhouse",775,48,"37.6 x 26.2 x 9.1 cm",8964.592,3,3,"Box","Retail",98,26.34,26,34.99,-8.65,-24.72,2
"131","30446-1","The Batmobile",2016,"DC Comics Super Heroes","Licensed","DC Extended Universe",44,63,"17.2 x 18.2 x 1.5 cm",469.56,0,3,"Polybag","Retail - limited",834,5,256,3.99,1.01,25.31,2
"132","1252-1","Shell Tanker",1999,"Town","Modern day","Shell",155,107,"19.2 x 9.5 x 5.8 cm",1057.92,1,1,"Box","Promotional",452,20.99,8,7,13.99,199.86,19
"133","10682-1","Creative Suitcase",2014,"Bricks and More","Basic","no subtheme",1559.22,1000,"37.78 x 27.94 x 13.97 cm",14746.357604,0,0,"Box","Retail",240,58.64,10,59.99,-1.35,-2.25,4
"134","10020-1","Santa Fe Super Chief",2002,"Trains","Modern day","9 V",645,435,"28.9 x 19 x 7.3 cm",4008.43,2,1,"Box","LEGO exclusive",1556,264,18,40,224,560,16
"135","136-1","Tanker Wagon",1975,"Trains","Modern day","4.5/12 V",185,83,"20.1 x 10 x 5 cm",1005,0,0,"Box","Retail",148,159.9,1,2.07,157.83,7624.64,43
"136","21001-1","John Hancock Center",2008,"Architecture","Model making","Landmark Series",168,69,"14 x 26 x 4.6 cm",1674.4,0,2,"Box","Retail - limited",1560,207.1,4,19.99,187.11,936.02,10
"137","10506-1","Train Accessory Set",2013,"Duplo","Pre-school","Trains",668,24,"28 x 26 x 9.3 cm",6770.4,0,1,"Box","Retail",171,19.29,16,19.99,-0.699999999999999,-3.5,5
"138","30247-1","ARC-170 Starfighter",2014,"Star Wars","Licensed","Episode III",33.6,54,"17 x 19 x 1 cm",323,0,2,"Polybag","Retail - limited",986,5.36,59,3.99,1.37,34.34,4
