"","set_num","name","year","theme","themeGroup","subtheme","weight","parts","size","boxSize","minifigs","instructionsCount","packagingType","availability","wantedByTotal","avgSellPrice","offersByTotal","USRetailPrice","profit","profitability","age"
"2735","75003-1","A-wing Starfighter",2013,"Star Wars","Licensed","Episode VI",358.7,177,"26 x 19 x 6 cm",2964,3,2,"Box","Retail",2490,33.43,54,24.99,8.44,33.77,5
"2736","75079-1","Shadow Troopers",2015,"Star Wars","Licensed","Legends",120.3,95,"19.1 x 14.1 x 4.5 cm",1211.895,4,2,"Box","Retail",1765,15.57,99,12.99,2.58,19.86,3
"2737","75184-1","Star Wars Advent Calendar",2017,"Star Wars","Licensed","Seasonal",459,309,"38 x 26 x 6.7 cm",6619.6,8,0,"Box","Retail",1023,31.05,122,39.99,-8.94,-22.36,1
"2738","7160-1","Drop Ship",2010,"HERO Factory","Constraction","no subtheme",954,390,"34.9 x 37.7 x 6.7 cm",8815.391,0,2,"{Not specified}","{Not specified}",454,43.98,1,49.99,-6.01000000000001,-12.02,8
"2739","7285-1","Police Dog Unit",2011,"City","Modern day","Police",146,96,"19.1 x 14.1 x 6.1 cm",1642.791,1,4,"Box","Retail",1242,25.05,10,12.99,12.06,92.84,7
"2740","7585-1","Horse Stable",2008,"Belville","Girls","no subtheme",663,209,"38.1 x 28.6 x 5.8 cm",6320.028,1,2,"{Not specified}","{Not specified}",93,36.95,15,39.99,-3.04,-7.6,10
"2741","7074-1","Skull Island",2004,"4 Juniors","Junior","Pirates",750,76,"38.2 x 28.5 x 6 cm",6532.2,3,3,"{Not specified}","{Not specified}",123,47.72,5,30,17.72,59.07,14
"2742","75004-1","Z-95 Headhunter",2013,"Star Wars","Licensed","The Clone Wars",671.2,373,"38 x 26 x 5.5 cm",5434,3,2,"Box","Retail",2614,59.12,51,49.99,9.13,18.26,5
"2743","75080-1","AAT",2015,"Star Wars","Licensed","Episode I",371,251,"26 x 19 x 6 cm",2964,3,2,"Box","Retail",1772,34.64,40,24.99,9.65,38.62,3
"2744","75185-1","Tracker I",2017,"Star Wars","Licensed","Original Content",912.86,557,"47.24 x 27.94 x 5.84 cm",7708.131904,4,2,"Box","Retail",1245,44.2,61,69.99,-25.79,-36.85,1
"2745","7161-1","Gungan Sub",1999,"Star Wars","Licensed","Episode I",904,379,"43 x 28.6 x 5.8 cm",7132.84,3,1,"Box","Retail",2135,80.91,24,50,30.91,61.82,19
"2746","7286-1","Prisoner Transport",2011,"City","Modern day","Police",314,173,"26.2 x 19.1 x 6.1 cm",3052.562,2,4,"Box","Retail",1265,27.5,22,19.99,7.51,37.57,7
"2747","76005-1","Spider-Man: Daily Bugle Showdown",2013,"Marvel Super Heroes","Licensed","Ultimate Spider-Man",880,476,"38 x 26 x 7 cm",6916,5,8,"Box","Retail",2092,54.73,72,49.99,4.73999999999999,9.48,5
"2748","7586-1","Sunshine Home",2008,"Belville","Girls","no subtheme",1480,450,"57 x 38.5 x 7 cm",15361.5,3,10,"{Not specified}","{Not specified}",116,77.18,15,79.99,-2.80999999999999,-3.51,10
"2749","70741-1","Airjitzu Cole Flyer",2015,"Ninjago","Action/Adventure","Airjitzu",125,47,"23.5 x 28 x 8.4 cm",5527.2,1,2,"Box with backing card","Retail",299,9.84,26,9.99,-0.15,-1.5,3
"2750","75005-1","Rancor Pit",2013,"Star Wars","Licensed","Episode VI",1042,380,"47.5 x 27.7 x 7 cm",9210.25,4,2,"Box","Retail",3601,104.83,63,59.99,44.84,74.75,5
"2751","75081-1","T-16 Skyhopper",2015,"Star Wars","Licensed","Episode IV",428.5,247,"26 x 18.8 x 7 cm",3421.6,2,2,"Box","Retail",2035,27.61,64,24.99,2.62,10.48,3
"2752","75186-1","The Arrowhead",2017,"Star Wars","Licensed","Original Content",1273,775,"54 x 28.2 x 7.8 cm",11877.84,5,2,"Box","Retail",1176,56.49,55,89.99,-33.5,-37.23,1
"2753","7162-1","Rotor",2010,"HERO Factory","Constraction","no subtheme",363,145,"25.8 x 28 x 6.3 cm",4551.12,0,1,"{Not specified}","{Not specified}",454,51.83,3,19.99,31.84,159.28,8
"2754","7287-1","Police Boat",2011,"City","Modern day","Police",752,172,"48 x 28 x 7 cm",9408,3,4,"Box","Retail",1537,65,16,39.99,25.01,62.54,7
"2755","76006-1","Iron Man: Extremis Sea Port Battle",2013,"Marvel Super Heroes","Licensed","Iron Man 3",352,195,"26 x 19 x 6 cm",2964,3,4,"Box","Retail",1579,26.44,71,19.99,6.45,32.27,5
"2756","75006-1","Jedi Starfighter & Planet Kamino",2013,"Star Wars","Licensed","Planet Set",139,61,"14 x 19 x 4.5 cm",1197,1,2,"{Not specified}","{Not specified}",1722,13.78,36,9.99,3.79,37.94,5
"2757","75870-1","Chevrolet Corvette Z06",2016,"Speed Champions","Licensed","Chevrolet",244,173,"19 x 14 x 6 cm",1596,1,2,"Box","Retail",952,18.96,34,14.99,3.97,26.48,2
"2758","70742-1","Airjitzu Zane Flyer",2015,"Ninjago","Action/Adventure","Airjitzu",126,42,"23.5 x 28 x 8.4 cm",5527.2,1,2,"Box with backing card","Retail",311,11.15,14,9.99,1.16,11.61,3
"2759","75082-1","TIE Advanced Prototype",2015,"Star Wars","Licensed","Rebels",533,355,"28.2 x 26.2 x 5.9 cm",4359.156,3,2,"Box","Retail",2540,42.02,103,39.99,2.03,5.08,3
"2760","75187-1","BB-8",2017,"Star Wars","Licensed","The Last Jedi",1300,1106,"35 x 37.5 x 9 cm",11812.5,1,2,"Box","Retail",1690,76.77,133,99.99,-23.22,-23.22,1
"2761","7288-1","Mobile Police Unit",2011,"City","Modern day","Police",878,408,"53.8 x 28 x 5.5 cm",8285.2,3,14,"Box","Retail",1592,50.56,30,44.99,5.57,12.38,7
"2762","7163-1","Republic Gunship",2002,"Star Wars","Licensed","Episode II",1798,693,"57.6 x 38.3 x 7 cm",15442.56,8,1,"Box","Retail",3436,226.23,26,90,136.23,151.37,16
"2763","7587-1","Horse Jumping",2008,"Belville","Girls","no subtheme",216,54,"28.6 x 19.1 x 4.6 cm",2512.796,1,1,"{Not specified}","{Not specified}",70,20.74,12,19.99,0.75,3.75,10
